authors,title,author1,author2,organization,year,journal,keyFindings,metaDescription,onePageSummary,link,pillar,subpillar,solution,subcategory,file
S. Teske,Achieving the Paris Climate Agreement Goals,"Teske, Sven
",,"Institute for Sustainable Futures, University of Technology Sydney",2022,Springer Nature Link,"This book extends the editor’s 2019 work on achieving the Paris Agreement goals, analyzing 12 global industry sectors. It sets 5-year emission reduction targets (2025-2050) for finance sectors, based on renewable energy and non-energy greenhouse gas pathways to keep warming below 1.5°C. Using Scope 1, 2, and 3 emissions accounting, it models energy demand and emissions for industries, transportation, and buildings. Results provide the first comprehensive sectoral assessments through 2050, including agriculture, forestry, and major greenhouse gases. Conclusions guide the finance industry and policymakers on achieving sustainability through targeted investments and strategies.","This book sets 2025-2050 emission targets for 12 sectors, modeling Scope 1-3 pathways to limit warming to 1.5°C, guiding finance and policy (S. Teske).",,https://link.springer.com/book/10.1007/978-3-030-99177-7,,,,,
Teske et al.,Net-zero 1.5 °C sectorial pathways for G20 countries: energy and emissions data to inform science-based decarbonization targets,"Teske, Sven
","Rispler, Jonathan","Institute for Sustainable Futures, University of Technology Sydney",2023,"Discover
Applied Sciences","The study provides energy and emission pathways for global, EU-27, and G20 countries to achieve a 400–500 GtCO2 carbon budget, limiting warming to 1.5°C with over 50% likelihood. Using the One Earth Climate Model, datasets include sector-specific and scope-specific emissions for annual totals, guiding pathways for sustainable carbon management.","Global, EU-27, and G20 pathways aim for a 400–500 GtCO2 carbon budget, limiting warming to 1.5°C, with sector-specific emissions from One Earth Model data (Teske et al).",,https://link.springer.com/article/10.1007/s42452-023-05481-x,,,,,
Teske & Guerrero,One Earth Climate Model Integrated Energy Assessment Model to Develop Industry-Specific 1.5C Pathways with High Technical Resolution for the Finance Sector,"Teske, Sven
","Guerrero, Jaysson ","Institute for Sustainable Futures, University of Technology Sydney",2022,Energies,"The IPCC sets a 400 GtCO2 budget to limit warming to 1.5°C with 67% certainty by 2050. This study details a MATLAB-based energy model, OECM 2.0, which provides high-resolution industry-specific pathways, energy demands, and supply KPIs. A consistent methodology improves calculation accuracy, with transport scenario results included.","The IPCC's 400 GtCO2 budget limits warming to 1.5°C. A detailed MATLAB model, OECM 2.0, maps industry-specific energy KPIs and pathways to 2050 (Teske & Guerrero).",,https://www.mdpi.com/1996-1073/15/9/3289,,,,,
Thackery & Hall,An emergent constraint on future Arctic sea-ice albedo feedback,"Thackery, Chad","Hall, Alex","Department of Atmospheric and Oceanic Sciences, University of California",2019,Nature Climate Change,"Arctic sea ice decline amplifies warming through the sea-ice albedo feedback (SIAF), a key driver of Arctic climate change and uncertainty in models. Analyzed models reveal a robust link (r = 0.76) between current seasonal SIAF and future SIAF, weakened as ice-free conditions emerge. Excluding models with thin ice strengthens this link. Improving model accuracy for current SIAF and ice thickness can reduce uncertainty in future projections.","Arctic ice loss fuels warming via sea ice albedo feedback. Models show current SIAF predicts future SIAF, but accuracy improves by removing thin ice models (Thackery & Hall).",,https://www.nature.com/articles/s41558-019-0619-1,,,,,
Tilman & Clark,Global diets link environmental sustainability and human health,"Tilman, David","Clark, Michael","Department of Ecology, Evolution and Behavior, University of Minnesota",2014,Nature,"Global dietary shifts toward refined sugars, fats, oils, and meats are driving an 80% rise in agricultural emissions, land clearing, and chronic diseases like diabetes and heart disease by 2050. Adopting healthier diets could cut emissions, reduce land clearing, prevent species loss, and lower diet-related health issues, addressing the interconnected diet–environment–health crisis.","Global diet shifts increase emissions, land clearing, and diseases. Healthier diets can cut emissions, prevent species loss, and improve public health (Tilman & Clark).",,https://www.nature.com/articles/nature13959,,,,,
Tilman et al.,Future threats to biodiversity and pathways to their prevention,"Tilman, David","Clark, Michael","Department of Ecology, Evolution and Behavior, University of Minnesota",2017,Nature,"Human activities threaten tens of thousands of species with extinction, with large tropical mammals in Africa, Asia, and South America most at risk due to population growth and economic expansion. However, proactive efforts to boost crop yields, reduce habitat loss, and protect natural lands can enhance food security and preserve biodiversity.","Human activities threaten species, especially tropical mammals. Boosting yields, reducing habitat loss, and protecting lands can save biodiversity (Tilman et al).",,https://www.nature.com/articles/nature22900,,,,,
Tilman & Clark,"Food, Agriculture, and the Environment: Can We Feed the World and Save the Earth?","Tilman, David","Clark, Michael","Department of Ecology, Evolution and Behavior, University of Minnesota",2015,Daedalus,"Food production underpins health and stability but harms the environment through emissions, pollution, and biodiversity loss. Doubling production by 2050 due to population growth and meat-heavy diets will worsen these impacts. Adopting healthier diets and boosting yields in developing nations can cut emissions, reduce habitat loss, and enhance global health and food security.","Food production harms biodiversity and emits GHGs. Healthier diets and higher yields in developing nations can cut impacts, boosting global food security (Tilman & Clark).",,https://www.amacad.org/publication/food-agriculture-environment-can-we-feed-world-save-earth,,,,,
D. Tilman,Food and Health of a Full Earth,"Tilman, David",,"Department of Ecology, Evolution and Behavior, University of Minnesota",2015,Daedalus,"The global population will level off at 10–11B by century’s end, with urbanization and rising incomes driving increased consumption and environmental strain. Agriculture already occupies 55% of habitable land and contributes over 25% of greenhouse gas emissions. Meeting food demand without harming ecosystems requires sustainable intensification, equitable practices, and improved diets. Women, as key food providers, must be empowered to address malnutrition and related issues. Ethical considerations, including prioritizing human needs over livestock and biofuel, are central to balancing food security, environmental health, and intergenerational equity. Collaborative action is essential for a sustainable future.","With 10–11B people by 2100, rising consumption strains land, emissions, and diets. Sustainable farming and equity are vital for food and ecosystems (D. Tillman).",,https://www.mitpressjournals.org/doi/full/10.1162/DAED_e_00349,,,,,
Timmers et al.,Conservation of birds in fragmented landscapes requires protected areas,"Timmers, Robert
","van Kuijk, Marijke ","Ecology & Biodiversity Group, Department of Biology, Utrecht University",2022,Frontiers in Ecology and the Environment,"Effective conservation of bird species depends on the size and protection of habitat fragments. An analysis of 2000 bird species in 741 forest fragments shows higher bird occurrence, especially for threatened species, in protected areas. Strict protection (>50 ha) has strong benefits, while moderate protection requires fragments >175 ha. This highlights the importance of protecting fragments of all sizes, not just large pristine areas, for biodiversity conservation.","Bird conservation needs protected fragments. Strict protection aids >50 ha areas, moderate >175 ha. Protection boosts species, even in smaller habitats (Timmers et al).",,https://doi.org/10.1002/fee.2485,,,,,
MacKeracher et al.,"Sharks, rays and marine protected areas: A critical evaluation of current perspectives
","MacKeracher, Tracy ","Diedrich, Amy ","College of Science & Engineering, James Cook University",2018,James Cook U,"Marine protected areas (MPAs) are a prominent strategy for conserving sharks and rays but face uncertainties about their effectiveness and objectives. Through interviews with 53 experts, the study found diverse views on MPA success, emphasizing biological outcomes like species abundance over social outcomes such as livelihoods. MPAs designed for sharks and rays were seen as slightly more effective than general MPAs but insufficient alone. Success relies on social factors like local support, though these are undervalued. Greater focus on social outcomes could enhance MPA benefits for sharks and rays, informing future conservation efforts.","Marine protected areas help conserve sharks and rays but require a stronger focus on social outcomes, local support, and clear objectives for success (MacKeracher et al).",,https://onlinelibrary.wiley.com/doi/full/10.1111/faf.12337,,,,,
